XD,Laughing
O:-),Angel
)-:,Left-handed Sad Face
(-:,Left-handed Smiley Face
:-|,Indifferent
@,Mention
<3,Heart
"~,~",Napping
:-B,Nerd
<l:0,Partying
$_$,Greedy
8-),Glasses
:-/,Perplexed
:-(,Frowning
>:),Evil Grin
:*),Drunk
#-o,Doh!
*<:o),Clown
|-O,Yawn
~:0,Baby
:/,Unsure
=-O,Uh-oh
:-#,Braces
:-J,Tongue in Cheek
=D,Laughing Out Loud
B-),Cool
:'(,Crying (3)
*-*,Dazed
:),Smile (2)
<><,Fish
:o,Surprised
=(),Sad (3)
</3,Broken Heart (2)
@~)~~~~,Rose
//_^,Emo
[¬º-°]¬,Zombie (2)
:P,Sticking Tongue Out
^_^,Overjoyed
:-Q,Smoking
=^.^=,Cat
:-*,Kiss (3)
'=p',Frustrated (2)
:->,Grin
<:3)~,Mouse
:-E,Vampire
;-),Winking (2)
=),Happy (3)
#,Hashtag
:S,Sarcastic
(*v*),Bird
O.o,Confused
=8),Pig
:(,Frown (2)
<3,Love
(.V.),Alien
:>,Smug
:-D,Big Grin
=D,Very Happy
=o,Shocked (2)
(-}{-),Kissing
X-(,Angry
:-@,Screaming
:-\,Undecided
X-p,Joking
:-&,Tongue Tied
:-)(-:,Married
=/,Mad
\:D/,Dancing
{},Hug
:o3,Dog
